Quantity,Level/Category,Common Code,Name,Conversion Factor,Symbol,Description
mass flow rate,1M,F41,kilogram per minute kelvin,"1,666 67 × 10⁻²kg x s⁻¹ x K⁻¹",kg/(min·K),
mass flow rate,1M,F69,kilogram per second bar,10⁻⁵ m x s,kg/(s·bar),
mass flow rate,1M,F42,kilogram per second kelvin,kg x s⁻¹ x K⁻¹,kg/(s·K),
mass flow rate,1M,F32,milligram per day,"1,157 41 × 10⁻¹¹ kg x s⁻¹",mg/d,
mass flow rate,1M,F70,milligram per day bar,"1,157 41 × 10⁻¹⁶ m x s",mg/(d·bar),
mass flow rate,1M,F43,milligram per day kelvin,"1,157 41 × 10⁻¹¹ kg x s⁻¹ x K⁻¹",mg/(d·K),
mass flow rate,1M,F71,milligram per hour bar,"2,777 78 × 10⁻¹⁵ m x s",mg/(h·bar),
mass flow rate,1M,F44,milligram per hour kelvin,"2,777 78 × 10⁻¹⁰ kg x s⁻¹ x K⁻¹",mg/(h·K),
mass flow rate,1M,F33,milligram per minute,"1,666 67 × 10⁻⁸ kg x s⁻¹",mg/min,
mass flow rate,1M,F72,milligram per minute bar,"1,666 67 × 10⁻¹³ m x s",mg/(min·bar),
mass flow rate,1M,F45,milligram per minute kelvin,"1,666 67 × 10⁻⁸ kg x s⁻¹ x K⁻¹",mg/(min·K),
mass flow rate,1M,F34,milligram per second,10⁻⁶ kg x s⁻¹,mg/s,
mass flow rate,1M,F73,milligram per second bar,10⁻¹¹ m x s,mg/(s·bar),
mass flow rate,1M,F46,milligram per second kelvin,10⁻⁶ kg x s⁻¹ x K⁻¹,mg/(s·K),
mass flow rate,1M,F25,gram per hertz,10⁻³ kg x s,g/Hz,
mass flow rate,2,4W,ton (US) per hour,"2,519 958 x 10⁻¹ kg/s",ton (US) /h,
mass flow rate,2,4U,pound per hour,"1,259 979 x 10⁻⁴ kg/s",lb/h,
mass flow rate,2,K66,pound (avoirdupois) per day,"5,249 912 x 10⁻⁶ kg/s",lb/d,
mass flow rate,2,K73,pound (avoirdupois) per hour degree Fahrenheit,"2,267 962 x 10⁻⁴ (kg/s)/K",(lb/h)/°F,
mass flow rate,2,K74,pound (avoirdupois) per hour psi,"1,827 445 x 10⁻⁸ (kg/s)/Pa",(lb/h)/psi,
mass flow rate,2,K78,pound (avoirdupois) per minute,"7,559 873 x 10⁻³ kg/s",lb/min,
mass flow rate,2,K79,pound (avoirdupois) per minute degree Fahrenheit,"1,360 777  x 10⁻² (kg/s)/K",lb/(min·°F),
mass flow rate,2,K80,pound (avoirdupois) per minute psi,"1,096 467 x 10⁻⁶ (kg/s)/Pa",(lb/min)/psi,
mass flow rate,2,K81,pound (avoirdupois) per second,"0,453 592 4 kg/s",lb/s,
mass flow rate,2,K82,pound (avoirdupois) per second degree Fahrenheit,"0,816 466 3 (kg/s)/K",(lb/s)/°F,
mass flow rate,2,K83,pound (avoirdupois) per second psi,"6,578 802 x 10⁻⁵ (kg/s)/Pa",(lb/s)/psi,
mass flow rate,2,L33,ounce (avoirdupois) per day,"3,281 194 x 10⁻⁷kg/s",oz/d,
mass flow rate,2,L34,ounce (avoirdupois) per hour,"7,874 867 x 10⁻⁶ kg/s",oz/h,
mass flow rate,2,L35,ounce (avoirdupois) per minute,"4,724 92 x 10⁻⁴ kg/s",oz/min,
mass flow rate,2,L36,ounce (avoirdupois) per second,"2,834 952 x 10⁻² kg/s",oz/s,
mass flow rate,2,L63,slug per day,"1,689 109 x 10⁻⁴ kg/s",slug/d,
mass flow rate,2,L66,slug per hour,"4,053 861 x 10⁻³ kg/s",slug/h,
mass flow rate,2,L67,slug per minute,"0,243 231 7 kg/s",slug/min,
mass flow rate,2,L68,slug per second,"14,593 90 kg/s",slug/s,
mass flow rate,2,L71,tonne per day,"1,157 41 x 10⁻² kg/s",t/d,
mass flow rate,2,L72,tonne per day kelvin,"1,157 41 x 10⁻² (kg/s)/K",(t/d)/K,
mass flow rate,2,L73,tonne per day bar,"1,157 41 x 10⁻⁷ (kg/s)/Pa",(t/d)/bar,
mass flow rate,2,E18,tonne per hour,"2,777 78 x 10⁻¹ kg/s",t/h,A unit of weight or mass equal to one tonne per hour.
mass flow rate,2,L74,tonne per hour kelvin,"2,777 78 x 10⁻¹ (kg/s)/K",(t/h)/K,
mass flow rate,2,L75,tonne per hour bar,"2,777 78 x 10⁻⁶ (kg/s)/Pa",(t/h)/bar,
mass flow rate,2,L78,tonne per minute,"16,666 7 kg/s",t/min,
mass flow rate,2,L79,tonne per minute kelvin,"16,666 7 (kg/s)/K",(t/min)/K,
mass flow rate,2,L80,tonne per minute bar,"1,666 67 x 10⁻⁴ (kg/s)/Pa",(t/min)/bar,
mass flow rate,2,L81,tonne per second,10³ kg/s,t/s,
mass flow rate,2,L82,tonne per second kelvin,10³ (kg/s)/K,(t/s)/K,
mass flow rate,2,L83,tonne per second bar,10⁻² (kg/s)/Pa,(t/s)/bar,
mass flow rate,2,L85,ton long per day,"1,175 980 x 10⁻² kg/s",ton (UK)/d,
mass flow rate,2,L88,ton short per day,"1,049 982 x 10⁻² kg/s",ton (US)/d,
mass flow rate,2,L89,ton short per hour degree Fahrenheit,"0,453 592 2 kg/s x K",ton (US)/(h·°F),
mass flow rate,2,L90,ton short per hour psi,"3,654 889 x 10⁻⁵ (kg/s)/Pa",(ton (US)/h)/psi,
mass flow rate,2,M88,tonne per month,"3,802 570 537 68 x 10⁻⁴ kg/s",t/mo,Unit tonne divided by the unit month.
mass flow rate,2,M89,tonne per year,"3,168 808 781 x 10⁻⁵ kg/s",t/y,Unit tonne divided by the unit year with 365 days.
mass flow rate,2,M90,kilopound per hour,"0,125 997 889 kg/s",klb/h,1000-fold of the unit of the mass avoirdupois pound according to the avoirdupois unit system divided by the unit hour.
mass ratio,1S,J33,microgram per kilogram,10⁻⁹,µg/kg,
mass ratio,1S,L32,nanogram per kilogram,10⁻¹²,ng/kg,
mass ratio,1S,NA,milligram per kilogram,10⁻⁶  1,mg/kg,
mass ratio,1S,M29,kilogram per kilogram,1,kg/kg,
mass ratio,2,M91,pound per pound,1,lb/lb,Proportion of the mass consisting of the avoirdupois pound according to the avoirdupois unit system divided by the avoirdupois pound according to the avoirdupois unit system.
volume flow rate,1,MQS,cubic metre per second,m³/s,m³/s,
volume flow rate,1M,MQH,cubic metre per hour,"2,777 78 x 10⁻⁴ m³/s",m³/h,
volume flow rate,1M,40,millilitre per second,10⁻⁶ m³/s,ml/s,
volume flow rate,1M,41,millilitre per minute,"1,666 67 x 10⁻⁸ m³/s",ml/min,
volume flow rate,1M,LD,litre per day,"1,157 41 x 10⁻⁸ m³/s",l/d,
volume flow rate,1S,2J,cubic centimetre per second,10⁻⁶ m³/s,cm³/s,
volume flow rate,1M,4X,kilolitre per hour,"2,777 78 x 10⁻⁴ m³/s",kl/h,
volume flow rate,1M,L2,litre per minute,"1,666 67 x 10⁻⁵ m³/s",l/min,
volume flow rate,1M,G47,cubic centimetre per day,"1,157 41 × 10⁻¹¹ m³ x s⁻¹",cm³/d,
volume flow rate,1M,G78,cubic centimetre per day bar,"1,157 41 × 10⁻¹⁶ kg⁻¹ x m⁴ x s",cm³/(d·bar),
volume flow rate,1M,G61,cubic centimetre per day kelvin,"1,157 41 × 10⁻¹¹ m³ x s⁻¹ x K⁻¹",cm³/(d·K),
volume flow rate,1M,G48,cubic centimetre per hour,"2,777 78 × 10⁻¹⁰ m³ x s⁻¹",cm³/h,
volume flow rate,1M,G79,cubic centimetre per hour bar,"2,777 78 × 10⁻¹⁵ kg⁻¹ x m⁴ x s",cm³/(h·bar),
volume flow rate,1M,G62,cubic centimetre per hour kelvin,"2,777 78 × 10⁻¹⁰ m³ x s⁻¹ x K⁻¹",cm³/(h·K),
volume flow rate,1M,G49,cubic centimetre per minute,"1,666 67 × 10⁻⁸ m³ x s⁻¹",cm³/min,
volume flow rate,1M,G80,cubic centimetre per minute bar,"1,666 67 × 10⁻¹³ kg⁻¹ x m⁴ x s",cm³/(min·bar),
volume flow rate,1M,G63,cubic centimetre per minute kelvin,"1,666 67 × 10⁻⁸ m³ x s⁻¹ x K⁻¹",cm³/(min·K),
volume flow rate,1M,G81,cubic centimetre per second bar,10⁻¹¹ kg⁻¹ x m⁴ x s,cm³/(s·bar),
volume flow rate,1M,G64,cubic centimetre per second kelvin,10⁻⁶ m³ x s⁻¹ x K⁻¹,cm³/(s·K),
volume flow rate,1S,E92,cubic decimetre per hour,"2,777 78 × 10⁻⁷ m³ x s⁻¹",dm³/h,
volume flow rate,1M,G52,cubic metre per day,"1,157 41 × 10⁻⁵ m³ x s⁻¹",m³/d,
volume flow rate,1M,G86,cubic metre per day bar,"1,157 41 × 10⁻¹⁰ kg⁻¹ x m⁴ x s",m³/(d·bar),
volume flow rate,1M,G69,cubic metre per day kelvin,"1,157 41 × 10⁻⁵ m³ x s⁻¹ x K⁻¹",m³/(d·K),
volume flow rate,1M,G87,cubic metre per hour bar,"2,777 78 × 10⁻⁹ kg⁻¹ x m⁴ x s",m³/(h·bar),
volume flow rate,1M,G70,cubic metre per hour kelvin,"2,777 78 × 10⁻⁴ m³ x s⁻¹ x K⁻¹",m³/(h·K),
volume flow rate,1M,G53,cubic metre per minute,"1,666 67 × 10⁻² m³ x s⁻¹",m³/min,
volume flow rate,1M,G88,cubic metre per minute bar,"1,666 67 × 10⁻⁷ kg⁻¹ x m⁴ x s",m³/(min·bar),
volume flow rate,1M,G71,cubic metre per minute kelvin,"1,666 67 × 10⁻² m³ x s⁻¹ x K⁻¹",m³/(min·K),
volume flow rate,1M,G89,cubic metre per second bar,10⁻⁵ kg⁻¹ x m⁴ x s,m³/(s·bar),
volume flow rate,1M,G72,cubic metre per second kelvin,m³ x s⁻¹ x K⁻¹,m³/(s·K),
volume flow rate,1M,G82,litre per day bar,"1,157 41 × 10⁻¹³ kg⁻¹ x m⁴ x s",l/(d·bar),
volume flow rate,1M,G65,litre per day kelvin,"1,157 41 × 10⁻⁸ m³ x s⁻¹ x K⁻¹",l/(d·K),
volume flow rate,1M,G83,litre per hour bar,"2,777 78 × 10⁻¹² kg⁻¹ x m⁴ x s",l/(h·bar),
volume flow rate,1M,G66,litre per hour kelvin,"2,777 78 × 10⁻⁷ m³ x s⁻¹ x K⁻¹",l/(h·K),
volume flow rate,1M,G84,litre per minute bar,"1,666 67 × 10⁻¹⁰ kg⁻¹ x m⁴ x s",l/(min·bar),
volume flow rate,1M,G67,litre per minute kelvin,"1,666 67 × 10⁻⁵ m³ x s⁻¹ x K⁻¹",l/(min·K),
volume flow rate,1M,G51,litre per second,10⁻³ m³ x s⁻¹,l/s,
volume flow rate,1M,G85,litre per second bar,10⁻⁸ kg⁻¹ x m⁴ x s,l/(s·bar),
volume flow rate,1M,G68,litre per second kelvin,10⁻³ m³ x s⁻¹ x K⁻¹,l/(s·K),
volume flow rate,1M,G54,millilitre per day,"1,157 41 × 10⁻¹¹ m³ x s⁻¹",ml/d,
volume flow rate,1M,G90,millilitre per day bar,"1,157 41 x 10⁻¹⁶ x kg⁻¹ x m⁴ x s",ml/(d·bar),
volume flow rate,1M,G73,millilitre per day kelvin,"1,157 41 × 10⁻¹¹ m³ x s⁻¹ x K⁻¹",ml/(d·K),
volume flow rate,1M,G55,millilitre per hour,"2,777 78 × 10⁻¹⁰ m³ x s⁻¹",ml/h,
volume flow rate,1M,G91,millilitre per hour bar,"2,777 78 x 10⁻¹⁵ x kg⁻¹ x m⁴ x s",ml/(h·bar),
volume flow rate,1M,G74,millilitre per hour kelvin,"2,777 78 × 10⁻¹⁰ m³ x s⁻¹ x K⁻¹",ml/(h·K),
volume flow rate,1M,G92,millilitre per minute bar,"1,666 67 × 10⁻¹³ x kg⁻¹ x m⁴ x s",ml/(min·bar),
volume flow rate,1M,G75,millilitre per minute kelvin,"1,666 67 × 10⁻⁸ m³ x s⁻¹ x K⁻¹",ml/(min·K),
volume flow rate,1M,G93,millilitre per second bar,10⁻¹¹ kg⁻¹ x m⁴ x s,ml/(s·bar),
volume flow rate,1M,G76,millilitre per second kelvin,10⁻⁶ m³ x s⁻¹ x K⁻¹,ml/(s·K),
volume flow rate,2,2K,cubic foot per hour,"7,865 79 x 10⁻⁶ m³/s",ft³/h,
volume flow rate,2,2L,cubic foot per minute,"4,719 474 x 10⁻⁴ m³/s",ft³/min,
volume flow rate,2,5A,barrel (US) per minute,"2,649 79 x 10⁻³ m³/s",barrel (US)/min,
volume flow rate,2,G2,US gallon per minute,"6,309 020 x 10⁻⁵ m³/s",gal (US) /min,
volume flow rate,2,G3,Imperial gallon per minute,"7,576 82 x 10⁻⁵ m³/s",gal (UK) /min,
volume flow rate,2,G56,cubic inch per hour,"4,551 96 × 10⁻⁹ m³ x s⁻¹",in³/h,
volume flow rate,2,G57,cubic inch per minute,"2,731 18 × 10⁻⁷ m³ x s⁻¹",in³/min,
volume flow rate,2,G58,cubic inch per second,"1,638 71 × 10⁻⁵ m³ x s⁻¹",in³/s,
volume flow rate,2,G50,gallon (US) per hour,"1,051 5 × 10⁻⁶ m³ x s⁻¹",gal/h,
volume flow rate,2,J58,barrel (UK petroleum) per minute,"2,651 886 m³/s",bbl (UK liq.)/min,
volume flow rate,2,J59,barrel (UK petroleum) per day,"1,841 587 4 x 10⁻⁶ m³/s",bbl (UK liq.)/d,
volume flow rate,2,J60,barrel (UK petroleum) per hour,"4,419 810 x 10⁻⁵ m³/s",bbl (UK liq.)/h,
volume flow rate,2,J61,barrel (UK petroleum) per second,"0,159 113 15 m³/s",bbl (UK liq.)/s,
volume flow rate,2,J62,barrel (US petroleum) per hour,"4,416 314 x 10⁻⁵ m³/s",bbl (US)/h,
volume flow rate,2,J63,barrel (US petroleum) per second,"0,158 987 3 m³/s",bbl (US)/s,
volume flow rate,2,J64,bushel (UK) per day,"4,209 343 x 10⁻⁷ m³/s",bu (UK)/d,
volume flow rate,2,J65,bushel (UK) per hour,"1,010 242 x 10⁻⁵ m³/s",bu (UK)/h,
volume flow rate,2,J66,bushel (UK) per minute,"6,061 453 x 10⁻⁴ m³/s",bu (UK)/min,
volume flow rate,2,J67,bushel (UK) per second,"3,636 872 x 10⁻² m³/s",bu (UK)/s,
volume flow rate,2,J68,bushel (US dry) per day,"4,078 596 x 10⁻⁷ m³/s",bu (US dry)/d,
volume flow rate,2,J69,bushel (US dry) per hour,"9,788 631 x 10⁻⁶ m³/s",bu (US dry)/h,
volume flow rate,2,J70,bushel (US dry) per minute,"5,873 178 x 10⁻⁴ m³/s",bu (US dry)/min,
volume flow rate,2,J71,bushel (US dry) per second,"3,523 907 x 10⁻² m³/s",bu (US dry)/s,
volume flow rate,1S,J90,cubic decimetre per day,"1,157 41 x 10⁻⁸ m³/s",dm³/d,
volume flow rate,1S,J92,cubic decimetre per minute,"1,666 67 x 10⁻⁵ m³/s",dm³/min,
volume flow rate,1S,J93,cubic decimetre per second,10⁻³ m³/s,dm³/s,
volume flow rate,1S,N45,cubic metre per second pascal,kg⁻¹ x m⁴ x s,(m³/s)/Pa,Power of the SI base unit meter by exponent 3 divided by the product of the SI base unit second and the derived SI base unit pascal.
volume flow rate,2,J95,ounce (UK fluid) per day,"3,288 549 x 10⁻¹⁰ m³/s",fl oz (UK)/d,
volume flow rate,2,J96,ounce (UK fluid) per hour,"7,892 517 x 10⁻⁹ m³/s",fl oz (UK)/h,
volume flow rate,2,J97,ounce (UK fluid) per minute,"4,735 51 x 10⁻⁷ m³/s",fl oz (UK)/min,
volume flow rate,2,J98,ounce (UK fluid) per second,"2,841 306 x 10⁻⁵ m³/s",fl oz (UK)/s,
volume flow rate,2,J99,ounce (US fluid) per day,"3,422 862 x 10⁻¹⁰ m³/s",fl oz (US)/d,
volume flow rate,2,K10,ounce (US fluid) per hour,"8,214 869 x 10⁻⁹ m³/s",fl oz (US)/h,
volume flow rate,2,K11,ounce (US fluid) per minute,"4,928 922 x 10⁻⁷ m³/s",fl oz (US)/min,
volume flow rate,2,K12,ounce (US fluid) per second,"2,957 353 x 10⁻⁵ m³/s",fl oz (US)/s,
volume flow rate,2,K22,cubic foot per day,"3,277 413 x 10⁻⁷ m³/s",ft³/d,
volume flow rate,2,K26,gallon (UK) per day,"5,261 678 x 10⁻⁸ m³/s",gal (UK)/d,
volume flow rate,2,K27,gallon (UK) per hour,"1,262 803 x 10⁻⁶ m³/s",gal (UK)/h,
volume flow rate,2,K28,gallon (UK) per second,"4,546 09 x 10⁻³ m³/s",gal (UK)/s,
volume flow rate,2,K30,gallon (US liquid) per second,"3,785 412 x 10⁻³ m³/s",gal (US liq.)/s,
volume flow rate,2,K32,gill (UK) per day,"1,644 274 x 10⁻⁵ m³/s",gi (UK)/d,
volume flow rate,2,K33,gill (UK) per hour,"3,946 258 x 10⁻⁸ m³/s",gi (UK)/h,
volume flow rate,2,K34,gill (UK) per minute,"0,023 677 55 m³/s",gi (UK)/min,
volume flow rate,2,K35,gill (UK) per second,"1,420 653 x 10⁻⁴ m³/s",gi (UK)/s,
volume flow rate,2,K36,gill (US) per day,"1,369 145 x 10⁻⁹ m³/s",gi (US)/d,
volume flow rate,2,K37,gill (US) per hour,"3,285 947 x 10⁻⁸ m³/s",gi (US)/h,
volume flow rate,2,K38,gill (US) per minute,"1,971 568 x 10⁻⁶ m³/s",gi (US)/min,
volume flow rate,2,K39,gill (US) per second,"1,182 941 x 10⁻⁴ m³/s",gi (US)/s,
volume flow rate,2,K94,quart (UK liquid) per day,"1,315 420 x 10⁻⁸ m³/s",qt (UK liq.)/d,
volume flow rate,2,K95,quart (UK liquid) per hour,"3,157 008 x 10⁻⁷ m³/s",qt (UK liq.)/h,
volume flow rate,2,K96,quart (UK liquid) per minute,"1,894 205 x 10⁻⁵ m³/s",qt (UK liq.)/min,
volume flow rate,2,K97,quart (UK liquid) per second,"1,136 523 x 10⁻³ m³/s",qt (UK liq.)/s,
volume flow rate,2,K98,quart (US liquid) per day,"1,095 316 x 10⁻⁸ m³/s",qt (US liq.)/d,
volume flow rate,2,K99,quart (US liquid) per hour,"2,628 758 x 10⁻⁷ m³/s",qt (US liq.)/h,
volume flow rate,2,L10,quart (US liquid) per minute,"1,577 255 x 10⁻⁵ m³/s",qt (US liq.)/min,
volume flow rate,2,L11,quart (US liquid) per second,"9,463 529 x 10⁻⁴ m³/s",qt (US liq.)/s,
volume flow rate,2,L44,peck (UK) per day,"1,052 336 x 10⁻⁷ m³/s",pk (UK)/d,
volume flow rate,2,L45,peck (UK) per hour,"2,525 606 x 10⁻⁶ m³/s",pk (UK)/h,
volume flow rate,2,L46,peck (UK) per minute,"1,515 363 5 x 10⁻⁴ m³/s",pk (UK)/min,
volume flow rate,2,L47,peck (UK) per second,"9,092 181 x 10⁻³ m³/s",pk (UK)/s,
volume flow rate,2,L48,peck (US dry) per day,"1,019 649 x 10⁻⁷ m³/s",pk (US dry)/d,
